epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,35.051,2.36801,3.00503,2.87346,0.00333,1,0.4975,0.06965,3.59779,3.60442,6.6616,0.000493898,0.000493898,0.000493898
45,35.6226,4.45572,4.27663,5.2674,0,0,0,0,3.87034,4.48141,7.76972,0.000496672,0.000496672,0.000496672
46,36.1852,2.28013,2.61063,2.20557,0.00333,1,0.01555,0.00155,3.89119,4.87932,4.96593,0.00049905,0.00049905,0.00049905
47,36.7724,3.98878,4.33998,4.50964,0.00333,1,0.01157,0.00347,3.50143,5.23413,4.81866,0.000501032,0.000501032,0.000501032
48,37.3702,1.71355,3.31684,2.25617,0.00333,1,0.02163,0.00433,3.42588,3.97238,5.40204,0.000502618,0.000502618,0.000502618
49,37.9273,1.88988,2.76472,2.12259,0.00333,1,0.02314,0.00572,3.34872,4.33087,5.25409,0.000503808,0.000503808,0.000503808
50,38.5206,1.94664,3.03398,2.21048,0.00333,1,0.04146,0.01658,3.04647,4.04568,4.9235,0.000504602,0.000504602,0.000504602
51,39.1272,2.99352,3.34096,3.73755,0.00333,1,0.04146,0.01658,3.04647,4.04568,4.9235,0.000505,0.000505,0.000505
52,39.6955,2.57008,2.77649,2.43724,0.00333,1,0.4975,0.0574,3.40038,3.52184,4.95095,0.000505002,0.000505002,0.000505002
53,40.3043,2.404,3.09598,3.06903,0.00333,1,0.4975,0.0574,3.40038,3.52184,4.95095,0.000504608,0.000504608,0.000504608
54,40.8633,2.72274,2.65328,2.48816,0.00333,1,0.995,0.199,3.40033,3.8612,4.88791,0.000503818,0.000503818,0.000503818
55,41.4695,3.07587,3.13631,2.58705,0.00333,1,0.995,0.199,3.40033,3.8612,4.88791,0.000502632,0.000502632,0.000502632
