epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,561.349,0.52484,0.38252,0.93281,0.91864,0.92097,0.93571,0.86126,0.47347,0.41057,0.90426,0.000456863,0.000456863,0.000456863
43,573.878,0.51685,0.37813,0.92901,0.89974,0.92745,0.93043,0.85399,0.49706,0.42405,0.90532,0.00044925,0.00044925,0.00044925
44,586.405,0.51882,0.3776,0.92556,0.93249,0.92767,0.93929,0.86703,0.47282,0.40082,0.89314,0.000441637,0.000441637,0.000441637
45,599.275,0.52051,0.37703,0.92854,0.92535,0.93557,0.92917,0.8536,0.48016,0.41024,0.89956,0.000434024,0.000434024,0.000434024
46,611.98,0.51845,0.37254,0.92768,0.90958,0.92996,0.93352,0.85872,0.47421,0.41793,0.88998,0.000426411,0.000426411,0.000426411
47,624.695,0.51976,0.36835,0.92584,0.91113,0.94198,0.93028,0.86181,0.48735,0.40415,0.9161,0.000418797,0.000418797,0.000418797
48,637.231,0.52096,0.37868,0.92969,0.92241,0.92467,0.93336,0.85762,0.49412,0.41696,0.91092,0.000411184,0.000411184,0.000411184
49,650.085,0.52204,0.37756,0.93191,0.92256,0.92694,0.92794,0.85577,0.48724,0.41169,0.91077,0.000403571,0.000403571,0.000403571
50,662.723,0.50406,0.36295,0.92157,0.91423,0.93765,0.92822,0.86131,0.47666,0.42025,0.89556,0.000395958,0.000395958,0.000395958
51,675.506,0.50733,0.36645,0.92422,0.90987,0.91921,0.92441,0.85485,0.47265,0.41918,0.89668,0.000388345,0.000388345,0.000388345
52,688.28,0.50764,0.36303,0.91997,0.90954,0.91145,0.92349,0.85156,0.49093,0.44819,0.905,0.000380732,0.000380732,0.000380732
53,701.085,0.51167,0.36415,0.92271,0.92294,0.93122,0.9292,0.85489,0.47826,0.40988,0.91136,0.000373119,0.000373119,0.000373119
54,713.925,0.49415,0.35952,0.91802,0.92241,0.93437,0.92536,0.85182,0.47741,0.41735,0.90051,0.000365506,0.000365506,0.000365506
55,726.562,0.50823,0.36998,0.92372,0.91924,0.92176,0.92796,0.85632,0.49004,0.44659,0.91278,0.000357893,0.000357893,0.000357893
56,739.026,0.49906,0.35572,0.91624,0.91965,0.91615,0.92636,0.85816,0.48349,0.41686,0.9063,0.00035028,0.00035028,0.00035028
57,751.92,0.50788,0.35679,0.92321,0.9218,0.93048,0.93076,0.86235,0.49061,0.40211,0.91853,0.000342666,0.000342666,0.000342666
58,764.346,0.5026,0.35112,0.92022,0.89768,0.93253,0.92691,0.85572,0.49753,0.43582,0.9212,0.000335053,0.000335053,0.000335053
59,777.226,0.49369,0.34818,0.91748,0.92292,0.9151,0.92247,0.84935,0.50992,0.43232,0.93414,0.00032744,0.00032744,0.00032744
60,790.14,0.49887,0.35919,0.91986,0.9054,0.88881,0.91701,0.85032,0.48361,0.47669,0.92049,0.000319827,0.000319827,0.000319827
61,802.903,0.48787,0.35078,0.9125,0.91103,0.90758,0.9224,0.8548,0.493,0.43308,0.90764,0.000312214,0.000312214,0.000312214
62,815.632,0.4866,0.34544,0.91474,0.92605,0.92226,0.91945,0.85241,0.49275,0.43836,0.92492,0.000304601,0.000304601,0.000304601
63,828.487,0.498,0.35588,0.92399,0.91685,0.92344,0.92152,0.85374,0.48226,0.44037,0.90703,0.000296988,0.000296988,0.000296988
64,841.157,0.4788,0.34213,0.91042,0.91909,0.91612,0.9243,0.85598,0.48673,0.44598,0.91404,0.000289375,0.000289375,0.000289375
65,853.927,0.48059,0.34257,0.9153,0.90759,0.90381,0.91681,0.85126,0.49191,0.46844,0.92503,0.000281762,0.000281762,0.000281762
66,866.659,0.47789,0.33627,0.91012,0.91941,0.92339,0.92883,0.86012,0.48855,0.4181,0.91947,0.000274148,0.000274148,0.000274148
67,879.443,0.48802,0.34217,0.91509,0.92397,0.92175,0.92836,0.85798,0.4865,0.40762,0.91948,0.000266535,0.000266535,0.000266535
68,892.168,0.47829,0.33055,0.91248,0.92154,0.92027,0.92655,0.85434,0.49941,0.42447,0.92877,0.000258922,0.000258922,0.000258922
69,904.997,0.48092,0.33313,0.90951,0.91315,0.91538,0.92033,0.84559,0.49807,0.4319,0.91598,0.000251309,0.000251309,0.000251309
70,917.748,0.4717,0.33203,0.90782,0.91316,0.91297,0.9204,0.85335,0.48167,0.4348,0.91225,0.000243696,0.000243696,0.000243696
71,930.143,0.47221,0.33073,0.91046,0.92072,0.91826,0.92531,0.85317,0.49676,0.43503,0.91538,0.000236083,0.000236083,0.000236083
72,942.667,0.47309,0.33089,0.90843,0.92219,0.91488,0.92392,0.85536,0.48978,0.43576,0.92035,0.00022847,0.00022847,0.00022847
73,955.471,0.46826,0.333,0.90848,0.91999,0.92881,0.92814,0.85443,0.49567,0.42203,0.92453,0.000220857,0.000220857,0.000220857
74,968.218,0.45989,0.32282,0.9003,0.90422,0.93348,0.92945,0.85814,0.49493,0.41919,0.93412,0.000213244,0.000213244,0.000213244
75,980.708,0.46671,0.32644,0.91117,0.91442,0.92417,0.92313,0.85368,0.49625,0.43202,0.9315,0.000205631,0.000205631,0.000205631
76,993.3,0.46249,0.32466,0.90251,0.92244,0.91594,0.92722,0.85859,0.49161,0.43541,0.92774,0.000198018,0.000198018,0.000198018
77,1006.07,0.46522,0.32447,0.90457,0.91381,0.91695,0.92369,0.8559,0.48319,0.43934,0.91842,0.000190404,0.000190404,0.000190404
78,1018.66,0.47115,0.3244,0.9066,0.92247,0.91988,0.93033,0.86199,0.49579,0.44305,0.9413,0.000182791,0.000182791,0.000182791
79,1031.62,0.46065,0.322,0.90433,0.92474,0.91249,0.92845,0.85567,0.48611,0.42104,0.92251,0.000175178,0.000175178,0.000175178
80,1044.41,0.45082,0.31511,0.90074,0.92528,0.92241,0.92447,0.8584,0.48621,0.43252,0.92909,0.000167565,0.000167565,0.000167565
81,1057.26,0.45571,0.32036,0.90243,0.90887,0.92896,0.92914,0.85739,0.48892,0.42944,0.93295,0.000159952,0.000159952,0.000159952
82,1070.01,0.45531,0.31389,0.90436,0.91103,0.92701,0.92692,0.85747,0.48647,0.42526,0.91914,0.000152339,0.000152339,0.000152339
83,1082.75,0.44736,0.31541,0.90121,0.9217,0.91886,0.92977,0.86172,0.48187,0.42466,0.91791,0.000144726,0.000144726,0.000144726
84,1095.66,0.45592,0.3169,0.90443,0.90641,0.92869,0.9252,0.85493,0.48894,0.42393,0.92688,0.000137113,0.000137113,0.000137113
85,1108.4,0.44243,0.30745,0.8958,0.91579,0.91587,0.92763,0.85962,0.47838,0.43699,0.91844,0.0001295,0.0001295,0.0001295
86,1120.89,0.45112,0.31281,0.90695,0.91013,0.90967,0.92275,0.85683,0.47961,0.4335,0.9182,0.000121887,0.000121887,0.000121887
87,1133.48,0.44454,0.30676,0.89608,0.92047,0.90778,0.92657,0.85963,0.48941,0.42783,0.92495,0.000114273,0.000114273,0.000114273
88,1146.32,0.44628,0.31041,0.90114,0.91634,0.91638,0.92647,0.86162,0.49083,0.42819,0.9326,0.00010666,0.00010666,0.00010666
89,1159.1,0.44483,0.30741,0.90093,0.91461,0.91142,0.92349,0.85642,0.48577,0.42923,0.93298,9.90472e-05,9.90472e-05,9.90472e-05
90,1171.88,0.43914,0.30271,0.89982,0.92527,0.91064,0.92899,0.86354,0.48028,0.41443,0.92277,9.14341e-05,9.14341e-05,9.14341e-05
91,1186.09,0.37044,0.24504,0.85586,0.91489,0.92025,0.92409,0.84935,0.49231,0.42153,0.93118,8.3821e-05,8.3821e-05,8.3821e-05
92,1198.91,0.36003,0.2333,0.8471,0.92426,0.92656,0.92361,0.84674,0.49676,0.42336,0.94355,7.62079e-05,7.62079e-05,7.62079e-05
93,1212.2,0.35343,0.23249,0.84551,0.9117,0.90819,0.92721,0.85704,0.49128,0.43594,0.94295,6.85948e-05,6.85948e-05,6.85948e-05
94,1224.68,0.34992,0.22655,0.84769,0.9128,0.91964,0.92842,0.85679,0.48977,0.43811,0.93837,6.09817e-05,6.09817e-05,6.09817e-05
95,1237.29,0.34675,0.22491,0.84746,0.90652,0.91691,0.92792,0.85517,0.4883,0.4341,0.93867,5.33686e-05,5.33686e-05,5.33686e-05
96,1249.91,0.34531,0.22349,0.83867,0.912,0.90684,0.92526,0.85463,0.48951,0.43668,0.93911,4.57555e-05,4.57555e-05,4.57555e-05
97,1262.7,0.34372,0.2205,0.84241,0.91028,0.91034,0.92717,0.85647,0.49245,0.43509,0.94273,3.81424e-05,3.81424e-05,3.81424e-05
98,1275.28,0.34184,0.21985,0.84227,0.91556,0.91434,0.92694,0.85905,0.48828,0.435,0.94219,3.05293e-05,3.05293e-05,3.05293e-05
99,1287.99,0.33818,0.21763,0.83773,0.91542,0.90811,0.92757,0.85922,0.49146,0.43219,0.94243,2.29162e-05,2.29162e-05,2.29162e-05
100,1300.54,0.33821,0.21764,0.8397,0.91525,0.90822,0.92736,0.85925,0.48712,0.43711,0.93299,1.53031e-05,1.53031e-05,1.53031e-05
