epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,346.411,3.17339,5.02025,2.13204,0.56022,0.0012,0.00096,0.00022,3.77643,4.7871,2.36851,3.2448e-05,3.2448e-05,3.2448e-05
42,355.446,3.08122,4.87427,2.08733,0.61006,0.0012,0.00151,0.00068,3.72546,4.69045,2.35404,2.93592e-05,2.93592e-05,2.93592e-05
43,364.711,3.02278,4.84378,2.08105,0.704,0.0012,0.0014,0.00043,3.75459,4.65039,2.35265,2.62704e-05,2.62704e-05,2.62704e-05
44,373.808,3.04717,4.80437,2.09232,0.43202,0.00277,0.00157,0.00023,3.80721,4.66621,2.3274,2.31816e-05,2.31816e-05,2.31816e-05
45,382.823,2.97717,4.75547,2.04043,0.26683,0.00195,0.00039,9e-05,3.79341,4.70061,2.3583,2.00928e-05,2.00928e-05,2.00928e-05
46,391.328,3.00207,4.74899,2.04854,0.74446,0.0012,0.00082,0.00011,3.8057,4.69954,2.35186,1.7004e-05,1.7004e-05,1.7004e-05
47,399.913,2.96751,4.72937,2.04553,0.74391,0.0012,0.00098,0.00021,3.78806,4.6935,2.33266,1.39152e-05,1.39152e-05,1.39152e-05
48,408.697,2.98227,4.72493,2.0343,0.57656,0.00277,0.0009,0.0002,3.79174,4.69822,2.34408,1.08264e-05,1.08264e-05,1.08264e-05
49,417.292,2.98178,4.72532,2.01992,0.51289,0.0013,0.00052,0.00016,3.79476,4.68881,2.34287,7.7376e-06,7.7376e-06,7.7376e-06
50,426.508,2.97286,4.7047,2.03336,0.47256,0.00168,0.00054,0.00017,3.80424,4.68076,2.33174,4.6488e-06,4.6488e-06,4.6488e-06
